source,application_bits,ebn0_db,repeat,seed,delivered_application_bits,transmitted_bits,packet_count,delivered_packets,attempts,retransmissions,crc_failures,duration_s,latency_budget_exhausted,payload_delivery_ratio,packet_delivery_ratio,frame_success,goodput_bps,gross_bitrate_bps
hard_semantic,262,0.0,20,20260731,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,21,20260732,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,22,20260733,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,23,20260734,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,24,20260735,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,25,20260736,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,26,20260737,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,27,20260738,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,28,20260739,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,0.0,29,20260740,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,3.0,0,20270711,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,3.0,1,20270712,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
hard_semantic,262,3.0,2,20270713,262,658,1,1,1,0,0,0.0013789999999999998,False,1.0,1.0,True,189992.74836838292,477157.36040609144
hard_semantic,262,3.0,3,20270714,262,658,1,1,1,0,0,0.0013789999999999998,False,1.0,1.0,True,189992.74836838292,477157.36040609144
hard_semantic,262,3.0,4,20270715,262,658,1,1,1,0,0,0.0013789999999999998,False,1.0,1.0,True,189992.74836838292,477157.36040609144
hard_semantic,262,3.0,5,20270716,262,658,1,1,1,0,0,0.0013789999999999998,False,1.0,1.0,True,189992.74836838292,477157.36040609144
hard_semantic,262,3.0,6,20270717,262,658,1,1,1,0,0,0.0013789999999999998,False,1.0,1.0,True,189992.74836838292,477157.36040609144
hard_semantic,262,3.0,7,20270718,262,658,1,1,1,0,0,0.0013789999999999998,False,1.0,1.0,True,189992.74836838292,477157.36040609144
hard_semantic,262,3.0,8,20270719,0,1316,1,0,2,1,2,0.0027579999999999996,False,0.0,0.0,False,0.0,477157.36040609144
