task_id,n_channels,demand_channels,method,channel,ebn0_db,mean_regret_db,mean_actual_bits,frame_success_rate,mean_link_latency_ms
N8_D6,8,6,best_block_binary_index,awgn,6.0,0.0,479.96666666666664,1.0,1.2987333333333366
N8_D6,8,6,best_block_binary_index,awgn,9.0,0.0,476.0,1.0,1.2880000000000036
N8_D6,8,6,best_block_binary_index,rayleigh,0.0,0.14030239952935117,885.0955555555544,0.2644444444444445,2.394964444444447
N8_D6,8,6,best_block_binary_index,rayleigh,3.0,0.08739223480224609,771.3844444444442,0.5950000000000001,2.0872755555555536
N8_D6,8,6,best_block_binary_index,rayleigh,6.0,0.030588077969021278,662.1688888888888,0.8444444444444452,1.7917511111111104
N8_D6,8,6,best_block_binary_index,rayleigh,9.0,0.008202662997775605,580.9844444444448,0.9572222222222232,1.5720755555555546
N8_D6,8,6,best_block_binary_index,rician,0.0,0.15844273461235892,911.5399999999986,0.16833333333333342,2.4665200000000036
N8_D6,8,6,best_block_binary_index,rician,3.0,0.06862762875027124,749.1711111111114,0.6699999999999999,2.0271688888888866
N8_D6,8,6,best_block_binary_index,rician,6.0,0.014593264261881513,587.5955555555555,0.9383333333333346,1.5899644444444438
N8_D6,8,6,best_block_binary_index,rician,9.0,0.002599915398491753,514.6088888888892,0.9933333333333335,1.3924711111111117
N16_D4,16,4,soft_power_fixed4,awgn,0.0,1.3306749979654948,1148.0,0.0,2.6739999999999924
N16_D4,16,4,soft_power_fixed4,awgn,3.0,0.4227171791924371,888.4244444444444,0.6977777777777776,2.0693788888888895
N16_D4,16,4,soft_power_fixed4,awgn,6.0,0.004298146565755208,580.6966666666666,1.0,1.3525983333333291
N16_D4,16,4,soft_power_fixed4,awgn,9.0,0.004298146565755208,574.0,1.0,1.3369999999999962
N16_D4,16,4,soft_power_fixed4,rayleigh,0.0,0.9767832989162866,1074.0177777777794,0.24444444444444444,2.5016755555555554
N16_D4,16,4,soft_power_fixed4,rayleigh,3.0,0.6026570807562935,940.7222222222221,0.5744444444444444,2.1911944444444456
N16_D4,16,4,soft_power_fixed4,rayleigh,6.0,0.220366465250651,805.8322222222223,0.8344444444444453,1.8769994444444449
N16_D4,16,4,soft_power_fixed4,rayleigh,9.0,0.06878539615207246,705.0633333333333,0.9538888888888899,1.6422816666666655
N16_D4,16,4,soft_power_fixed4,rician,0.0,1.1306515799628358,1104.9500000000012,0.14500000000000002,2.5737249999999987
N16_D4,16,4,soft_power_fixed4,rician,3.0,0.5136444897121852,915.8488888888885,0.6416666666666667,2.133257777777778
N16_D4,16,4,soft_power_fixed4,rician,6.0,0.11629944695366752,716.8622222222222,0.930555555555557,1.6697644444444428
N16_D4,16,4,soft_power_fixed4,rician,9.0,0.01846648322211371,624.3844444444437,0.9922222222222223,1.4543588888888852
N16_D4,16,4,best_block_onehot,awgn,0.0,1.3286476220024956,979.4555555555555,0.0011111111111111111,2.5885611111111015
N16_D4,16,4,best_block_onehot,awgn,3.0,0.3543256251017252,732.8222222222222,0.7511111111111115,1.9367444444444422
N16_D4,16,4,best_block_onehot,awgn,6.0,0.0,494.6277777777778,1.0,1.3072305555555506
N16_D4,16,4,best_block_onehot,awgn,9.0,0.0,490.0,1.0,1.294999999999995
N16_D4,16,4,best_block_onehot,rayleigh,0.0,0.9596359888712562,911.9444444444445,0.2611111111111112,2.4101388888888926
N16_D4,16,4,best_block_onehot,rayleigh,3.0,0.5782342868381077,795.4333333333333,0.5905555555555556,2.1022166666666684
N16_D4,16,4,best_block_onehot,rayleigh,6.0,0.20927656809488937,683.2777777777778,0.8411111111111121,1.8058055555555528
N16_D4,16,4,best_block_onehot,rayleigh,9.0,0.05968369377983939,598.0722222222222,0.9572222222222232,1.5806194444444426
N16_D4,16,4,best_block_onehot,rician,0.0,1.10509343041314,938.35,0.16500000000000004,2.4799250000000015
N16_D4,16,4,best_block_onehot,rician,3.0,0.4774912389119463,772.2944444444445,0.6672222222222222,2.041063888888889
N16_D4,16,4,best_block_onehot,rician,6.0,0.10303656260172527,606.2388888888889,0.9377777777777792,1.6022027777777756
N16_D4,16,4,best_block_onehot,rician,9.0,0.013049502902560763,530.0166666666667,0.9933333333333335,1.4007583333333296
N16_D4,16,4,best_block_binary_index,awgn,0.0,1.3286476220024956,951.4711111111111,0.0011111111111111111,2.574568888888896
N16_D4,16,4,best_block_binary_index,awgn,3.0,0.33041697184244784,707.3888888888887,0.7650000000000007,1.91411111111111
N16_D4,16,4,best_block_binary_index,awgn,6.0,0.0,479.96666666666664,1.0,1.2987333333333366
N16_D4,16,4,best_block_binary_index,awgn,9.0,0.0,476.0,1.0,1.2880000000000036
