scheme,seed,frames,precision,recall,f1,mean_iou,tp,fp,fn,clean_resource_rate,mean_occupancy_regret,mean_selected_occupancy,oracle_equivalent_rate,mean_transmitted_bits,mean_link_latency_s,mean_payload_delivery_ratio,latency_budget_exhaustion_rate,ebn0_db
hard_semantic,28464711,100,0.45121951219512196,0.6851851851851852,0.5441176470588235,0.4674605549992742,37,45,17,0.96,5.1495804655132815e-05,0.002689773216843605,0.96,2709.28,0.00146048,1.0,0.0,9.0
quantized_psd_4bit,28470711,,,,,,,,,0.68,0.011120953597128391,0.013759230263531208,0.6,2408.0,0.001351,1.0,0.0,9.0
quantized_psd_4bit,28471711,,,,,,,,,0.68,0.011120953597128391,0.013759230263531208,0.6,2408.0,0.001351,1.0,0.0,9.0
quantized_psd_4bit,28472711,,,,,,,,,0.68,0.011120953597128391,0.013759230263531208,0.6,2408.0,0.001351,1.0,0.0,9.0
quantized_psd_4bit,28473711,,,,,,,,,0.68,0.011120953597128391,0.013759230263531208,0.6,2408.0,0.001351,1.0,0.0,9.0
quantized_psd_4bit,28474711,,,,,,,,,0.68,0.011120953597128391,0.013759230263531208,0.6,2408.0,0.001351,1.0,0.0,9.0
quantized_psd_8bit,28480711,,,,,,,,,0.6,0.01951107196509838,0.022149350494146347,0.44,2520.0,0.001365,1.0,0.0,9.0
quantized_psd_8bit,28481711,,,,,,,,,0.6,0.01951107196509838,0.022149350494146347,0.44,2520.0,0.001365,1.0,0.0,9.0
quantized_psd_8bit,28482711,,,,,,,,,0.6,0.01951107196509838,0.022149350494146347,0.44,2520.0,0.001365,1.0,0.0,9.0
quantized_psd_8bit,28483711,,,,,,,,,0.6,0.01951107196509838,0.022149350494146347,0.44,2520.0,0.001365,1.0,0.0,9.0
quantized_psd_8bit,28484711,,,,,,,,,0.6,0.01951107196509838,0.022149350494146347,0.44,2520.0,0.001365,1.0,0.0,9.0
spectrogram_tile16,28490711,,,,0.3255813953488372,,,,,0.96,0.0006977546727284789,0.003336031921207905,0.92,802816.0,0.2494519999999998,0.734375,1.0,9.0
spectrogram_tile16,28491711,,,,0.3050847457627119,,,,,0.96,0.0005870435852557421,0.0032253211829811335,0.92,802816.0,0.2494519999999998,0.734375,1.0,9.0
spectrogram_tile16,28492711,,,,0.313953488372093,,,,,0.96,0.0005647522048093379,0.0032030297443270683,0.92,802816.0,0.2494519999999998,0.734375,1.0,9.0
spectrogram_tile16,28493711,,,,0.2573099415204678,,,,,0.96,0.0001214619551319629,0.0027597390580922365,0.92,802816.0,0.2494519999999998,0.734375,1.0,9.0
spectrogram_tile16,28494711,,,,0.29545454545454547,,,,,0.92,0.0012286636047065258,0.0038669409696012735,0.88,802816.0,0.2494519999999998,0.734375,1.0,9.0
