policy,repeat,precision,recall,f1,brier,clean_resource_rate,mean_occupancy_regret,oracle_equivalent_rate,mean_transmitted_bits,mean_scheduler_feedback_bits,mean_decision_link_latency_s,mean_reference_rf_energy_j,mean_attempted_nodes,mean_delivered_reports,mean_fallback_rounds
best_single,17,0.8,1.0,0.888888888888889,0.09480765461921692,1.0,0.002999756019562483,0.0,630.0,0.0,0.001365,0.00031499999999999996,1.0,1.0,0.0
full_mean,17,1.0,0.5,0.6666666666666666,0.161287322640419,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,3.5,0.0
full_snr_weighted,17,1.0,1.0,1.0,0.08391426503658295,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,3.5,0.0
full_robust_quality,17,0.6666666666666666,0.5,0.5714285714285715,0.13287270069122314,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,3.5,0.0
proposed_adaptive_value_bit,17,0.75,0.75,0.75,0.12329204380512238,1.0,0.002999756019562483,0.0,1890.0,96.0,0.00405,0.0009449999999999999,3.0,3.0,1.0
best_single,18,0.8,1.0,0.888888888888889,0.09480765461921692,1.0,0.002999756019562483,0.0,630.0,0.0,0.001365,0.00031499999999999996,1.0,1.0,0.0
full_mean,18,0.5,0.5,0.5,0.19673877954483032,1.0,0.002999756019562483,0.0,2520.0,0.0,0.001365,0.0012599999999999998,4.0,4.0,0.0
full_snr_weighted,18,0.6666666666666666,1.0,0.8,0.12216310203075409,1.0,0.002999756019562483,0.0,2520.0,0.0,0.001365,0.0012599999999999998,4.0,4.0,0.0
full_robust_quality,18,0.6666666666666666,0.5,0.5714285714285715,0.14289985597133636,1.0,0.002999756019562483,0.0,2520.0,0.0,0.001365,0.0012599999999999998,4.0,4.0,0.0
proposed_adaptive_value_bit,18,0.75,0.75,0.75,0.12329204380512238,1.0,0.002999756019562483,0.0,1890.0,96.0,0.00405,0.0009449999999999999,3.0,3.0,1.0
best_single,19,0.8,1.0,0.888888888888889,0.09480765461921692,1.0,0.002999756019562483,0.0,630.0,0.0,0.001365,0.00031499999999999996,1.0,1.0,0.0
full_mean,19,0.5,0.5,0.5,0.19673877954483032,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,4.0,0.0
full_snr_weighted,19,0.6666666666666666,1.0,0.8,0.12216310203075409,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,4.0,0.0
full_robust_quality,19,0.6666666666666666,0.5,0.5714285714285715,0.14289985597133636,1.0,0.002999756019562483,0.0,2835.0,0.0,0.0020475,0.0014175,4.0,4.0,0.0
proposed_adaptive_value_bit,19,0.75,0.75,0.75,0.12329204380512238,1.0,0.002999756019562483,0.0,1890.0,96.0,0.00405,0.0009449999999999999,3.0,3.0,1.0
