spectrum_scheme,packet_loss,ber,clean_rate,policy,mean_bits_per_frame,mean_expected_task,mean_utility,semantic_delivery_score,detail_delivery_score,priority_detail_score,failed_transmission_rate,detail_per_mbit,priority_detail_per_mbit,action_summary_only_ratio,action_semantic_only_ratio,action_semantic_plus_roi_ratio,action_lowres_plus_semantic_ratio,action_jpeg_full_ratio
spectrogram8_partial,0.05,0.0001,0.899,spectrum_rule,5305.6277372262775,1.6663446668023485,1.665707991473881,0.9257470371124157,0.0,0.0,0.06934306569343066,0.0,0.0,0.0,1.0,0.0,0.0,0.0
spectrogram8_partial,0.05,0.0001,0.899,oracle_policy,43089.068336639284,2.2374707401623333,2.232300051961936,0.5715777738722516,0.49269005293316476,0.48582726322351805,0.4489051094890511,11.4342238519514,11.274953995939889,0.0,0.08576642335766424,0.09671532846715329,0.8175182481751825,0.0
oracle,0.1,0.0001,0.9426,summary_only,177.0,0.26453900652057305,0.26451776652057307,0.14696611473365162,0.0,0.0,0.012773722627737226,0.0,0.0,1.0,0.0,0.0,0.0,0.0
oracle,0.1,0.0001,0.9426,semantic_only,5305.6277372262775,1.5925679435796,1.5919312682511328,0.8847599686553332,0.0,0.0,0.13686131386861314,0.0,0.0,0.0,1.0,0.0,0.0,0.0
oracle,0.1,0.0001,0.9426,roi_always,161836.55341163708,0.5544000889424262,0.5349797025330297,0.13558583348264805,0.13558583348264805,0.11923408179284707,0.8485401459854015,0.8377948654021358,0.7367561856657371,0.0,0.0,1.0,0.0,0.0
oracle,0.1,0.0001,0.9426,lowres_always,52727.91795620439,1.457602423788741,1.4512750736339965,0.34204704420908844,0.34204704420908844,0.3406925546129624,0.6751824817518248,6.487019731998359,6.461331450559841,0.0,0.0,0.0,1.0,0.0
oracle,0.1,0.0001,0.9426,jpeg_always,1185557.2554744526,2.4678440713449706e-05,-0.14224219221622084,5.652421433176547e-06,5.652421433176547e-06,5.840451500496399e-06,1.0,4.767733829029187e-06,4.926334408167479e-06,0.0,0.0,0.0,0.0,1.0
oracle,0.1,0.0001,0.9426,spectrum_rule,17084.55204329797,1.7446995492048025,1.7426494029596065,0.7208248245619486,0.18069850929875067,0.19116367392995245,0.3102189781021898,10.576719181211203,11.189270485142353,0.0,0.614963503649635,0.05291970802919708,0.33211678832116787,0.0
oracle,0.1,0.0001,0.9426,oracle_policy,17627.59436383264,1.7632981182700465,1.7611828069463866,0.7113691381677365,0.20339507751939256,0.19116367392995245,0.2791970802919708,11.538447806395396,10.844569598343602,0.0,0.5821167883211679,0.08029197080291971,0.3375912408759124,0.0
random,0.1,0.0001,0.6952,summary_only,177.0,0.25886318611868264,0.2588419461186828,0.14381288117704594,0.0,0.0,0.040145985401459854,0.0,0.0,1.0,0.0,0.0,0.0,0.0
random,0.1,0.0001,0.6952,semantic_only,5305.6277372262775,1.4174571614766018,1.4168204861481346,0.7874762008203342,0.0,0.0,0.20255474452554745,0.0,0.0,0.0,1.0,0.0,0.0,0.0
random,0.1,0.0001,0.6952,roi_always,161836.55341163708,0.20643193629794815,0.1870115498885517,0.05260306479173591,0.05260306479173591,0.03975013900345624,0.9507299270072993,0.32503821715689984,0.245619040726543,0.0,0.0,1.0,0.0,0.0
random,0.1,0.0001,0.6952,lowres_always,52727.91795620439,0.563684352366356,0.5573570022116114,0.1331296910281565,0.1331296910281565,0.1314197698881839,0.8722627737226277,2.524842553782107,2.492413411759226,0.0,0.0,0.0,1.0,0.0
random,0.1,0.0001,0.6952,jpeg_always,1185557.2554744526,7.310689622126479e-08,-0.14226679755003807,1.6579246989868426e-08,1.6579246989868426e-08,1.7533822559156647e-08,1.0,1.3984349480644454e-08,1.4789519846630874e-08,0.0,0.0,0.0,0.0,1.0
random,0.1,0.0001,0.6952,spectrum_rule,5278.78102189781,1.337374073963615,1.3367406202409875,0.7429855966464528,0.0,0.0,0.21715328467153286,0.0,0.0,0.05474452554744526,0.9452554744525548,0.0,0.0,0.0
random,0.1,0.0001,0.6952,oracle_policy,5689.502946788872,1.4320608187024335,1.4313780783488188,0.7769670986943099,0.016890022299109166,0.010061076152184335,0.21715328467153286,2.9686287988728104,1.768357666087994,0.0,0.968978102189781,0.023722627737226276,0.0072992700729927005,0.0
semantic_hard,0.1,0.0001,0.9118,summary_only,177.0,0.263832396704978,0.2638111567049779,0.14657355372498773,0.0,0.0,0.020072992700729927,0.0,0.0,1.0,0.0,0.0,0.0,0.0
semantic_hard,0.1,0.0001,0.9118,semantic_only,5305.6277372262775,1.5694846783860201,1.5688480030575531,0.8719359324366778,0.0,0.0,0.10583941605839416,0.0,0.0,0.0,1.0,0.0,0.0,0.0
semantic_hard,0.1,0.0001,0.9118,roi_always,161836.55341163708,0.47613897422037643,0.4567185878109799,0.11709615151897969,0.11709615151897969,0.10108445042357597,0.8886861313868614,0.7235457568176296,0.6246082747848939,0.0,0.0,1.0,0.0,0.0
semantic_hard,0.1,0.0001,0.9118,lowres_always,52727.91795620439,1.2900711864750556,1.2837438363203113,0.3029544114059147,0.3029544114059147,0.30148675039634026,0.6952554744525548,5.745616803180956,5.717782193614283,0.0,0.0,0.0,1.0,0.0
semantic_hard,0.1,0.0001,0.9118,jpeg_always,1185557.2554744526,1.1713011448153899e-05,-0.14225515764548616,2.671200416482237e-06,2.671200416482237e-06,2.786287275731068e-06,1.0,2.2531180203635455e-06,2.350192082976214e-06,0.0,0.0,0.0,0.0,1.0
semantic_hard,0.1,0.0001,0.9118,spectrum_rule,13648.405131902993,1.6698873190500103,1.6682495104341817,0.7440406659088238,0.13439035492219414,0.14217358011073825,0.24452554744525548,9.846597725038086,10.416864002549946,0.0,0.7043795620437956,0.051094890510948905,0.24452554744525548,0.0
semantic_hard,0.1,0.0001,0.9118,oracle_policy,14087.517195300932,1.6856859269298927,1.6839954248664566,0.7354924042832612,0.1543467899394379,0.14217358011073825,0.23905109489051096,10.956280499939492,10.09216728112758,0.0,0.6751824817518248,0.07481751824817519,0.25,0.0
semantic_hard_rep3,0.1,0.0001,0.9308,summary_only,177.0,0.26426829237044247,0.2642470523704424,0.14681571798357912,0.0,0.0,0.014598540145985401,0.0,0.0,1.0,0.0,0.0,0.0,0.0
semantic_hard_rep3,0.1,0.0001,0.9308,semantic_only,5305.6277372262775,1.5836790620751102,1.583042386746643,0.879821701152839,0.0,0.0,0.11313868613138686,0.0,0.0,0.0,1.0,0.0,0.0,0.0
semantic_hard_rep3,0.1,0.0001,0.9308,roi_always,161836.55341163708,0.5223089199457345,0.5028885335363379,0.1280117578110136,0.1280117578110136,0.1117810670153033,0.8886861313868614,0.7909940931911167,0.690703457648311,0.0,0.0,1.0,0.0,0.0
semantic_hard_rep3,0.1,0.0001,0.9308,lowres_always,52727.91795620439,1.3907934699285642,1.3844661197738195,0.3264597377206175,0.3264597377206175,0.3250592195929139,0.656934306569343,6.191402019548235,6.164840793882794,0.0,0.0,0.0,1.0,0.0
semantic_hard_rep3,0.1,0.0001,0.9308,jpeg_always,1185557.2554744526,1.8497675693147527e-05,-0.14224837298124116,4.228562527650473e-06,4.228562527650473e-06,4.387432397864957e-06,1.0,3.56672991382287e-06,3.700734298242841e-06,0.0,0.0,0.0,0.0,1.0
semantic_hard_rep3,0.1,0.0001,0.9308,spectrum_rule,15998.312869129271,1.7136854006542745,1.711765603109979,0.7260185956046071,0.1645562607889959,0.17408654616287597,0.2773722627737226,10.285850897848585,10.881556548303136,0.0,0.6423357664233577,0.051094890510948905,0.30656934306569344,0.0
semantic_hard_rep3,0.1,0.0001,0.9308,oracle_policy,16487.772052829994,1.731172296659604,1.7291937640132642,0.7170939716751942,0.18596733681362249,0.17408654616287597,0.2773722627737226,11.27910649284496,10.558524560205537,0.0,0.6113138686131386,0.07664233576642336,0.31204379562043794,0.0
spectrogram8_partial,0.1,0.0001,0.8960000000000001,summary_only,177.0,0.2634699150463286,0.2634486750463286,0.1463721750257381,0.0,0.0,0.02737226277372263,0.0,0.0,1.0,0.0,0.0,0.0,0.0
spectrogram8_partial,0.1,0.0001,0.8960000000000001,semantic_only,5305.6277372262775,1.557790907149712,1.557154231821245,0.8654393928609511,0.0,0.0,0.14233576642335766,0.0,0.0,0.0,1.0,0.0,0.0,0.0
spectrogram8_partial,0.1,0.0001,0.8960000000000001,roi_always,161836.55341163708,0.44221073108503883,0.42279034467564236,0.10905878205896322,0.10905878205896322,0.09324694825961186,0.9087591240875912,0.6738822581173506,0.5761797708483998,0.0,0.0,1.0,0.0,0.0
spectrogram8_partial,0.1,0.0001,0.8960000000000001,lowres_always,52727.91795620439,1.2123023734884115,1.205975023333667,0.2848005762793165,0.2848005762793165,0.28328358594121666,0.6970802919708029,5.401324143234155,5.372553988885185,0.0,0.0,0.0,1.0,0.0
spectrogram8_partial,0.1,0.0001,0.8960000000000001,jpeg_always,1185557.2554744526,8.047536475651203e-06,-0.14225882312045865,1.8326147577219557e-06,1.8326147577219557e-06,1.9179517278276655e-06,1.0,1.5457834273795193e-06,1.6177638987668404e-06,0.0,0.0,0.0,0.0,1.0
spectrogram8_partial,0.1,0.0001,0.8960000000000001,spectrum_rule,5305.6277372262775,1.557790907149712,1.557154231821245,0.8654393928609511,0.0,0.0,0.1551094890510949,0.0,0.0,0.0,1.0,0.0,0.0,0.0
