scheme,packet_loss,ber,mean_bits_per_frame,compression_vs_spectrogram8,compression_vs_iq12,precision,recall,f1,mean_iou,tp,fp,fn
soft,0.05,1e-06,326.76000000000005,401.12620883829106,73448.40249724567,0.44038930201224585,0.5959302325581394,0.5064690210654195,0.5033260748327867,307.5,390.8,208.5
soft_rep3,0.05,1e-06,980.2799999999997,133.7087362794304,24482.800832415236,0.43881219289635054,0.6257751937984496,0.5158764052783332,0.5032703294407918,322.9,412.95,193.1
spectrogram8,0.05,1e-06,131072.0,1.0,183.10546875,0.35,0.0007751937984496124,0.001546641972173887,0.23680266439914704,0.4,0.2,515.6
iq12,0.05,1e-06,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.05,1e-05,261.9920000000001,500.29008519344086,91605.85056032243,0.44041183478295753,0.5944767441860465,0.5059546018488177,0.5029673980197675,306.75,389.8,209.25
hard_rep3,0.05,1e-05,785.9760000000001,166.76336173114697,30535.28352010748,0.43882052277432704,0.6258720930232557,0.5159151273230617,0.5033102511951294,322.95,413.0,193.05
soft,0.05,1e-05,326.76000000000005,401.12620883829106,73448.40249724567,0.4402648406779769,0.5938953488372094,0.5056477634642074,0.5030085590256126,306.45,389.65,209.55
soft_rep3,0.05,1e-05,980.2799999999997,133.7087362794304,24482.800832415236,0.43882052277432704,0.6258720930232557,0.5159151273230617,0.5033102511951294,322.95,413.0,193.05
spectrogram8,0.05,1e-05,131072.0,1.0,183.10546875,0.17083333333333334,0.00048449612403100775,0.0009641493665704965,0.1176660642027855,0.25,0.45,515.75
iq12,0.05,1e-05,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.05,0.0001,261.9920000000001,500.29008519344086,91605.85056032243,0.43899499487397564,0.5900193798449612,0.5034040240184268,0.5031457714261337,304.45,389.1,211.55
hard_rep3,0.05,0.0001,785.9760000000001,166.76336173114697,30535.28352010748,0.4389100857734397,0.6258720930232557,0.515976994762018,0.5033309642349363,322.95,412.85,193.05
soft,0.05,0.0001,326.76000000000005,401.12620883829106,73448.40249724567,0.43914255398979973,0.5856589147286823,0.5019068382061407,0.5029498118144756,302.2,386.0,213.8
soft_rep3,0.05,0.0001,980.2799999999997,133.7087362794304,24482.800832415236,0.4389100857734397,0.6258720930232557,0.515976994762018,0.5033309642349363,322.95,412.85,193.05
spectrogram8,0.05,0.0001,131072.0,1.0,183.10546875,0.0,0.0,0.0,0.0,0.0,0.0,516.0
iq12,0.05,0.0001,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.05,0.001,261.9920000000001,500.29008519344086,91605.85056032243,0.4373009343423922,0.553391472868217,0.48851775494783106,0.5023391360172504,285.55,367.45,230.45
hard_rep3,0.05,0.001,785.9760000000001,166.76336173114697,30535.28352010748,0.4389235473906628,0.6256782945736434,0.5159203341251162,0.5033142151072958,322.85,412.7,193.15
soft,0.05,0.001,326.76000000000005,401.12620883829106,73448.40249724567,0.43815475876437276,0.5080426356589147,0.4704674153997111,0.5015835978063465,262.15,336.2,253.85
soft_rep3,0.05,0.001,980.2799999999997,133.7087362794304,24482.800832415236,0.43903505391340863,0.6255813953488373,0.5159642981697218,0.5033067644779434,322.8,412.45,193.2
spectrogram8,0.05,0.001,131072.0,1.0,183.10546875,0.0,0.0,0.0,0.0,0.0,0.0,516.0
iq12,0.05,0.001,24000000.0,0.005461333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0
hard,0.1,0.0,261.9920000000001,500.29008519344086,91605.85056032243,0.43886101624230556,0.5643410852713178,0.4937242876062241,0.5035313044572882,291.2,372.4,224.8
hard_rep3,0.1,0.0,785.9760000000001,166.76336173114697,30535.28352010748,0.43877069544109704,0.6252906976744186,0.515682830103575,0.5032856256386035,322.65,412.7,193.35
