detector,scheme,packet_loss,ber,trials,mean_bits_per_frame,compression_vs_spectrogram8,compression_vs_iq12,mean_true_occupancy,mean_throughput_score,oracle_gap,mean_regret_occupancy,mean_net_utility,clean_channel_rate,low_interference_rate,oracle_equivalent_rate,exact_oracle_channel_rate,switch_rate
mask_baseline,spectrogram8_rep3_partial,0.2,0.0001,3,1966080.0,0.06666666666666667,12.20703125,0.004833168971041839,0.9951668779055277,0.0010470040918638308,0.0010470041015651077,0.9918946027755737,0.9316666666666666,0.9966666666666667,0.9205555555555556,0.7888888888888888,0.6544444362322489
grid16_yolo_style,fixed_ch0,0.2,0.0001,3,0.0,0.0,0.0,0.019120285908381145,0.9808796842892965,0.015334120020270348,0.015334120020270348,0.9808796842892965,0.6933333333333334,0.975,0.4811111111111111,0.3794444444444445,0.0
grid16_yolo_style,iq12_gate,0.2,0.0001,3,96000000.0,0.0013653333333333336,0.25,0.018318777283032734,0.9816811879475912,0.014532612636685371,0.014532613257567087,0.9783478776613871,0.695,0.9805555555555556,0.4238888888888889,0.31611111111111106,0.6666666666666666
grid16_yolo_style,iq12_partial,0.2,0.0001,3,120000000.0,0.0010922666666666667,0.20000000000000004,0.00938901367286841,0.9906110366185507,0.0056028493369619055,0.005602848871300618,0.9873636960983276,0.8544444444444445,0.9905555555555555,0.7377777777777778,0.6088888888888889,0.6494444211324056
grid16_yolo_style,oracle,0.2,0.0001,3,0.0,0.0,0.0,0.003786164801567793,0.9962138533592224,0.0,0.0,0.9930777748425802,0.94,1.0,1.0,1.0,0.6272222201029459
grid16_yolo_style,random,0.2,0.0001,3,0.0,0.0,0.0,0.017295149465401966,0.9827047983805338,0.013508984508613745,0.013508985129495462,0.979221522808075,0.7000000000000001,0.9805555555555556,0.4511111111111111,0.34722222222222227,0.6966666777928671
grid16_yolo_style,semantic_hard,0.2,0.0001,3,990.68,132.30747931878977,24226.223019797933,0.01039642964800199,0.989603579044342,0.006610265001654625,0.006610265001654625,0.9862702687581381,0.8361111111111111,0.985,0.7305555555555556,0.61,0.6666666666666666
grid16_yolo_style,semantic_hard_rep3,0.2,0.0001,3,2972.0400000000004,44.10249310626326,8075.407673265979,0.008701729743431011,0.9912982781728109,0.004915564941863219,0.0049155646314223604,0.9881176749865214,0.873888888888889,0.9894444444444445,0.8038888888888889,0.6761111111111111,0.6361111005147299
grid16_yolo_style,semantic_soft,0.2,0.0001,3,1179.7333333333333,111.11007889160709,20344.8630782972,0.010588067273298899,0.9894119302431742,0.006801902006069819,0.00680190185084939,0.9861452579498291,0.8316666666666667,0.9877777777777778,0.7161111111111111,0.5888888888888889,0.6533333460489908
grid16_yolo_style,semantic_soft_rep3,0.2,0.0001,3,3539.2000000000003,37.03669296386903,6781.621026099066,0.008370854270954927,0.9916291038195292,0.004584689158946276,0.004584689003725846,0.98835422595342,0.8672222222222222,0.9927777777777776,0.7977777777777778,0.6722222222222222,0.6550000111262003
grid16_yolo_style,spectrogram8_gate,0.2,0.0001,3,524288.0,0.25,45.7763671875,0.018099917098879814,0.9819001158078512,0.014313753383855024,0.014313753073414167,0.9785417318344116,0.7077777777777777,0.9777777777777777,0.45388888888888895,0.3538888888888889,0.67166668176651
grid16_yolo_style,spectrogram8_partial,0.2,0.0001,3,655360.0,0.20000000000000004,36.62109375,0.009054749738425016,0.9909452001253763,0.005268585712959369,0.00526858555773894,0.9876007437705994,0.8522222222222222,0.9916666666666666,0.7488888888888888,0.6194444444444445,0.6688888867696127
grid16_yolo_style,spectrogram8_rep3_partial,0.2,0.0001,3,1966080.0,0.06666666666666667,12.20703125,0.00804183833921949,0.991958220799764,0.004255674003312985,0.004255673770482342,0.988710900147756,0.8783333333333333,0.9922222222222222,0.8111111111111112,0.6788888888888889,0.6494444608688354
