uavs_per_step,scheme,packet_loss,ber,trials,decision_steps,mean_bits_per_frame,compression_vs_spectrogram8,compression_vs_iq12,mean_true_occupancy,mean_throughput_score,mean_net_utility,oracle_gap,mean_regret_occupancy,clean_channel_rate,low_interference_rate,oracle_equivalent_rate,exact_oracle_channel_rate,switch_rate
2,iq12_gate,0.2,0.0001,5,1000,48000000.0,0.002730666666666667,0.5,0.009799413569271564,0.9902005791664124,0.9868325352668762,0.008876650221645832,0.008876650407910348,0.8374,0.9869999999999999,0.5843999999999999,0.3292,0.6736000061035157
2,oracle,0.2,0.0001,5,1000,0.0,0.0,0.0,0.0009227634291164577,0.9990772485733033,0.9957872033119202,0.0,0.0,0.9882,1.0,1.0,1.0,0.6579999923706055
2,random,0.2,0.0001,5,1000,0.0,0.0,0.0,0.009611259028315545,0.9903887271881103,0.9870247006416321,0.008688496146351098,0.008688496146351098,0.837,0.9892,0.5864,0.33599999999999997,0.6728000164031982
2,semantic_hard,0.2,0.0001,5,1000,522.8752000000001,250.69635802783046,45903.87415060372,0.0030592312570661305,0.9969407677650451,0.9936777472496032,0.0021364677231758833,0.0021364677231758833,0.9586,0.9952,0.8948,0.6124,0.6526000142097473
2,semantic_hard_rep3,0.2,0.0001,5,1000,1568.6255999999998,83.56545267594348,15301.291383534577,0.0015185361728072167,0.9984814643859863,0.9951844334602356,0.0005957727786153555,0.0005957727669738233,0.9827999999999999,0.9982,0.9673999999999999,0.674,0.6593999981880188
2,semantic_soft,0.2,0.0001,5,1000,651.0559999999999,201.37553789633336,36872.96226129151,0.002908463077619672,0.997091555595398,0.9937814950942994,0.0019856998464092613,0.001985699706710875,0.953,0.9969999999999999,0.8954000000000001,0.6102,0.6620000004768372
2,semantic_soft_rep3,0.2,0.0001,5,1000,1953.1680000000001,67.12517929877778,12290.987420430502,0.0016833008965477347,0.9983167171478271,0.9950706720352173,0.0007605375314597041,0.0007605375372804702,0.982,0.9974000000000001,0.967,0.6728,0.6491999983787536
2,spectrogram8_gate,0.2,0.0001,5,1000,262144.0,0.5,91.552734375,0.009653801657259464,0.9903462052345275,0.9870191812515259,0.008731038682162762,0.008731038309633732,0.8353999999999999,0.9884000000000001,0.5738,0.3296,0.6653999924659729
4,fixed_ch0,0.2,0.0001,5,1000,0.0,0.0,0.0,0.020506957545876503,0.9794930338859558,0.9794930338859558,0.01656590048223734,0.0165659012272954,0.6868,0.9682000000000001,0.46840000000000004,0.3724,0.0
4,iq12_gate,0.2,0.0001,5,1000,96000000.0,0.0013653333333333334,0.25,0.01918887868523598,0.9808111310005188,0.9774771332740784,0.015247821435332298,0.015247821807861328,0.6866000000000001,0.9714,0.4438,0.34079999999999994,0.6667999982833862
4,oracle,0.2,0.0001,5,1000,0.0,0.0,0.0,0.0039410565979778765,0.9960589528083801,0.9928768873214722,0.0,0.0,0.9396000000000001,0.9994,1.0,1.0,0.6363999962806701
4,random,0.2,0.0001,5,1000,0.0,0.0,0.0,0.018883362784981726,0.9811166405677796,0.9777606368064881,0.014942305162549019,0.01494230590760708,0.6846,0.9764000000000002,0.4364,0.32999999999999996,0.6712000012397766
4,semantic_hard,0.2,0.0001,5,1000,1045.8799999999999,125.32286371937002,22947.301706427617,0.007957429997622967,0.9920425653457642,0.9888275504112244,0.004016373306512833,0.0040163732133805755,0.8844000000000001,0.9904,0.8325999999999999,0.7105999999999999,0.6430000066757202
4,semantic_hard_rep3,0.2,0.0001,5,1000,3137.6400000000003,41.77428790645668,7649.100568809206,0.005261056497693062,0.9947389483451843,0.9914949178695679,0.0013199999695643783,0.001319999888073653,0.9284000000000001,0.9953999999999998,0.9269999999999999,0.8038000000000001,0.648800003528595
4,semantic_soft,0.2,0.0001,5,1000,1302.4,100.64047556021816,18427.821452676668,0.007844715472310781,0.9921552896499634,0.9889172911643982,0.0039036590605974197,0.0039036589208990336,0.885,0.9905999999999999,0.8245999999999999,0.7011999999999999,0.647599995136261
