scheme,packet_loss,ber,trials,mean_bits_per_frame,compression_vs_spectrogram8,compression_vs_iq12,mean_true_occupancy,mean_throughput_score,oracle_gap,mean_regret_occupancy,mean_net_utility,clean_channel_rate,low_interference_rate,oracle_equivalent_rate,exact_oracle_channel_rate,switch_rate
iq12_partial,0.0,0.0001,5,120000000.0,0.0010922666666666667,0.2,0.006327000912278891,0.9936730027198791,0.002184872515499592,0.002184872538782656,0.9904209852218628,0.9022,0.9948,0.8794000000000001,0.7526,0.6504000067710877
oracle,0.0,0.0001,5,0.0,0.0,0.0,0.004142128489911556,0.9958578705787658,0.0,0.0,0.9925478577613831,0.933,1.0,1.0,1.0,0.6620000004768372
random,0.0,0.0001,5,0.0,0.0,0.0,0.01812558211386204,0.981874418258667,0.013983453810214996,0.013983453623950481,0.9785483956336976,0.6965999999999999,0.9783999999999999,0.44560000000000005,0.33980000000000005,0.6651999950408936
semantic_hard,0.0,0.0001,5,1047.5503999999999,125.12349244162856,22910.795735161475,0.0054454091936349865,0.994554591178894,0.0013032804359681903,0.0013032804825343191,0.9912565469741821,0.9219999999999999,0.9962,0.9196000000000002,0.7844,0.6595999956130981
semantic_hard_rep3,0.0,0.0001,5,3142.6512,41.707830813876186,7636.931911720492,0.005407217144966126,0.9945927858352661,0.0012650887598283588,0.0012650887947529554,0.9912907481193542,0.923,0.9960000000000001,0.923,0.7928000000000001,0.6603999972343445
semantic_soft,0.0,0.0001,5,1306.1119999999999,100.35563360240442,18375.665332471515,0.005450372118502855,0.9945496439933776,0.0013082435354590416,0.0013082435820251704,0.9912545919418335,0.921,0.9958,0.9184000000000001,0.7891999999999999,0.6589999914169311
semantic_soft_rep3,0.0,0.0001,5,3918.3360000000002,33.451877867468134,6125.221777490504,0.005308938305824995,0.9946910500526428,0.0011668097809888422,0.001166809827554971,0.9913850069046021,0.9231999999999999,0.9964000000000001,0.9236000000000001,0.7910000000000001,0.6611999988555908
spectrogram8_gate,0.0,0.0001,5,524288.0,0.25,45.7763671875,0.01903664954006672,0.9809633612632751,0.014894521422684192,0.014894521236419678,0.9776233553886413,0.6780000000000002,0.9785999999999999,0.4302,0.3264,0.6680000066757202
spectrogram8_partial,0.0,0.0001,5,655360.0,0.2,36.62109375,0.006356112752109766,0.9936439037322998,0.002213984285481274,0.002213984285481274,0.9903308629989624,0.9038,0.9945999999999999,0.8802,0.7458,0.6626000046730042
spectrogram8_rep3_partial,0.0,0.0001,5,1966080.0,0.06666666666666667,12.20703125,0.0053547357209026815,0.9946452617645264,0.0012126075220294298,0.001212607545312494,0.9913262367248535,0.9232000000000001,0.9962,0.9234,0.7888000000000001,0.6638000011444092
