threshold_sigma,min_cells,enhancement,n_fft,hop_length,n_pred,n_truth,true_positive,false_positive,false_negative,precision,recall,f1,mean_matched_iou,best_iou,raw_iq_32bit_iq_bps,raw_iq_12bit_iq_bps,stft_8bit_bps,semantic_packet_bps,semantic_packet_bits_per_frame,truth_label_counts,matched_truth_label_counts
8.0,16,raw,1024,256,128,55,3,125,52,0.0234375,0.05454545454545454,0.03278688524590164,0.08473737774170016,0.13195657094813007,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 1, 'PDCCH': 1, 'PDSCH': 1}"
8.0,32,raw,1024,256,101,55,3,98,52,0.0297029702970297,0.05454545454545454,0.038461538461538464,0.08473737774170016,0.13195657094813007,491520000.0,184320000.0,245534850.14614567,57857.984207541405,8289,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 1, 'PDCCH': 1, 'PDSCH': 1}"
9.0,4,raw,1024,256,0,55,0,0,55,0.0,0.0,0.0,0.0,0.0,491520000.0,184320000.0,245534850.14614567,1458.8392688353426,209,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}",{}
9.0,8,raw,1024,256,0,55,0,0,55,0.0,0.0,0.0,0.0,0.0,491520000.0,184320000.0,245534850.14614567,1458.8392688353426,209,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}",{}
9.0,16,raw,1024,256,0,55,0,0,55,0.0,0.0,0.0,0.0,0.0,491520000.0,184320000.0,245534850.14614567,1458.8392688353426,209,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}",{}
9.0,32,raw,1024,256,0,55,0,0,55,0.0,0.0,0.0,0.0,0.0,491520000.0,184320000.0,245534850.14614567,1458.8392688353426,209,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}",{}
3.0,4,freq_median,1024,256,128,55,26,102,29,0.203125,0.4727272727272727,0.2841530054644809,0.22984225300705097,0.4297283176593468,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1}"
3.0,8,freq_median,1024,256,128,55,26,102,29,0.203125,0.4727272727272727,0.2841530054644809,0.22984225300705097,0.4297283176593468,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1}"
3.0,16,freq_median,1024,256,123,55,26,97,29,0.21138211382113822,0.4727272727272727,0.2921348314606742,0.22984225300705097,0.4297283176593468,491520000.0,184320000.0,245534850.14614567,70142.94647141798,10049,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1}"
3.0,32,freq_median,1024,256,99,55,26,73,29,0.26262626262626265,0.4727272727272727,0.33766233766233766,0.22984225300705097,0.4297283176593468,491520000.0,184320000.0,245534850.14614567,56741.1694562799,8129,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1}"
4.0,4,freq_median,1024,256,128,55,24,104,31,0.1875,0.43636363636363634,0.26229508196721313,0.2723273628260276,0.5001520218911462,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1}"
4.0,8,freq_median,1024,256,128,55,24,104,31,0.1875,0.43636363636363634,0.26229508196721313,0.2723273628260276,0.5001520218911462,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1}"
4.0,16,freq_median,1024,256,118,55,24,94,31,0.2033898305084746,0.43636363636363634,0.2774566473988439,0.2723273628260276,0.5001520218911462,491520000.0,184320000.0,245534850.14614567,67350.90959326421,9649,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1}"
4.0,32,freq_median,1024,256,105,55,24,81,31,0.22857142857142856,0.43636363636363634,0.29999999999999993,0.2723273628260276,0.5001520218911462,491520000.0,184320000.0,245534850.14614567,60091.61371006442,8609,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1}"
5.0,4,freq_median,1024,256,128,55,33,95,22,0.2578125,0.6,0.36065573770491804,0.2069360603817522,0.6445924764890203,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'CSI-RS (TRS)': 7, 'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1, 'PSS': 3, 'SSS': 7}"
5.0,8,freq_median,1024,256,128,55,33,95,22,0.2578125,0.6,0.36065573770491804,0.2069360603817522,0.6445924764890203,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'CSI-RS (TRS)': 7, 'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1, 'PSS': 3, 'SSS': 7}"
5.0,16,freq_median,1024,256,128,55,33,95,22,0.2578125,0.6,0.36065573770491804,0.2069360603817522,0.6445924764890203,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'CSI-RS (TRS)': 7, 'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1, 'PSS': 3, 'SSS': 7}"
5.0,32,freq_median,1024,256,123,55,33,90,22,0.2682926829268293,0.6,0.3707865168539326,0.2069360603817522,0.6445924764890203,491520000.0,184320000.0,245534850.14614567,70142.94647141798,10049,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'CSI-RS (TRS)': 7, 'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1, 'PSS': 3, 'SSS': 7}"
6.0,4,freq_median,1024,256,128,55,30,98,25,0.234375,0.5454545454545454,0.3278688524590164,0.2041549615208173,0.6256279461624835,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1, 'PSS': 4, 'SSS': 10}"
