policy,samples,mean_bits_per_frame,mean_utility,semantic_delivery_score,detail_delivery_score,priority_detail_score,detail_per_mbit,action_summary_only_ratio,action_semantic_only_ratio,action_semantic_plus_roi_ratio,action_lowres_plus_semantic_ratio,action_jpeg_full_ratio,spectrum_scheme,packet_loss,ber,clean_rate
spectrum_rule,81,5201.197530864198,1.515087279306831,0.842061901672519,0.0,0.0,0.0,0.04938271604938271,0.9506172839506173,0.0,0.0,0.0,random,0.05,0.0001,0.6956
dqn,81,18111.708809750286,1.7267971936884554,0.7015219136457267,0.19274658048067966,0.19468459102119537,10.64209802097283,0.0,0.5802469135802469,0.06172839506172839,0.35802469135802467,0.0,random,0.05,0.0001,0.6956
oracle_policy,81,17630.39325419473,1.7274912138514371,0.7081987021333833,0.18787077561579418,0.1895554975919003,10.656074025523784,0.0,0.5925925925925926,0.06172839506172839,0.345679012345679,0.0,random,0.05,0.0001,0.6956
summary_only,77,177.0,0.2588419461186828,0.143812881177046,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,random,0.1,0.0001,0.6952
semantic_only,77,5318.194805194805,1.4127400763939333,0.7852101443169759,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,random,0.1,0.0001,0.6952
spectrum_rule,77,5309.363636363636,1.3937210588004807,0.7746434346871356,0.0,0.0,0.0,0.012987012987012988,0.987012987012987,0.0,0.0,0.0,random,0.1,0.0001,0.6952
dqn,77,5736.658148148148,1.4212175246684515,0.7742316949601027,0.01083864855097481,0.010981262347698162,1.889366294987202,0.0,0.974025974025974,0.025974025974025976,0.0,0.0,random,0.1,0.0001,0.6952
oracle_policy,77,6004.173992303992,1.4215560397014417,0.7681353412101863,0.01518502927286691,0.01538483228961516,2.5290788195563154,0.0,0.961038961038961,0.025974025974025976,0.012987012987012988,0.0,random,0.1,0.0001,0.6952
summary_only,79,177.0,0.24787410942406027,0.1377196385689224,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,random,0.2,0.0001,0.6967999999999999
semantic_only,79,5296.392405063291,1.1430955998104084,0.6354062038327866,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,random,0.2,0.0001,0.6967999999999999
