scheme,packet_loss,ber,trials,mean_bits_per_frame,compression_vs_spectrogram8,compression_vs_iq12,mean_true_occupancy,mean_throughput_score,oracle_gap,mean_regret_occupancy,mean_net_utility,clean_channel_rate,low_interference_rate,oracle_equivalent_rate,exact_oracle_channel_rate,switch_rate
semantic_soft_rep3,0.03,0.0001,3,3929.066666666667,33.36388003817828,6109.108893709403,0.005200142816950877,0.9947998921076456,0.0013976044331987698,0.001397604316783448,0.9914387464523315,0.9338888888888889,0.9961111111111111,0.9105555555555555,0.7744444444444444,0.6722222367922465
spectrogram8_gate,0.03,0.0001,3,524288.0,0.25,45.7763671875,0.018576846768458683,0.9814230998357137,0.014774307608604431,0.014774308229486147,0.9780619939168295,0.7011111111111111,0.9744444444444444,0.43388888888888894,0.3338888888888889,0.6722222367922465
spectrogram8_partial,0.03,0.0001,3,655360.0,0.20000000000000004,36.62109375,0.0064331212391455965,0.9935669104258219,0.0026305830106139183,0.0026305828553934893,0.9902335007985433,0.9072222222222223,0.9938888888888888,0.86,0.7322222222222222,0.6666666865348816
spectrogram8_rep3_partial,0.03,0.0001,3,1966080.0,0.06666666666666667,12.20703125,0.0050640615324179334,0.9949359695116679,0.0012615234591066837,0.0012615234203015764,0.9915775855382284,0.9338888888888889,0.9966666666666667,0.91,0.7833333333333332,0.671666661898295
fixed_ch0,0.03,0.001,3,0.0,0.0,0.0,0.02041710230211417,0.9795829057693481,0.01634957827627659,0.016349578897158306,0.9795829057693481,0.68,0.9716666666666667,0.44277777777777777,0.3427777777777778,0.0
iq12_gate,0.03,0.001,3,96000000.0,0.0013653333333333336,0.25,0.018504135310649872,0.9814958771069845,0.014436612216134867,0.014436612216134867,0.9780930876731873,0.6805555555555557,0.9772222222222222,0.42444444444444446,0.31777777777777777,0.6805555621782938
iq12_partial,0.03,0.001,3,120000000.0,0.0010922666666666667,0.20000000000000004,0.012981250882148743,0.9870187242825826,0.008913727477192879,0.00891372716675202,0.9837132493654887,0.7833333333333333,0.9866666666666667,0.6238888888888888,0.5077777777777778,0.6611111164093018
oracle,0.03,0.001,3,0.0,0.0,0.0,0.004067523560176293,0.9959324796994528,0.0,0.0,0.992615799109141,0.936111111111111,1.0,1.0,1.0,0.6633333166440328
random,0.03,0.001,3,0.0,0.0,0.0,0.018896436939636867,0.9811035792032877,0.014828912913799286,0.014828912913799286,0.9776924252510071,0.6883333333333334,0.976111111111111,0.4361111111111111,0.32944444444444443,0.6822222272555033
semantic_hard,0.03,0.001,3,1047.68,125.10807816162105,22907.973296195265,0.0058121698287626105,0.9941878318786621,0.001744646190976103,0.0017446462685863178,0.9909128546714783,0.91,0.9961111111111111,0.89,0.7583333333333333,0.6549999912579855
semantic_hard_rep3,0.03,0.001,3,3143.0399999999995,41.702692720540355,7635.9910987317535,0.004700832224140565,0.995299239953359,0.0006333086639642715,0.0006333087318732092,0.9919852217038473,0.9294444444444444,0.9988888888888888,0.9294444444444444,0.7949999999999999,0.6627777616182963
semantic_soft,0.03,0.001,3,1306.3999999999999,100.3336713449811,18371.64392303121,0.00645099285369118,0.9935490290323893,0.002383469215904673,0.0023834692935148873,0.9902295668919882,0.8961111111111112,0.9955555555555554,0.8538888888888888,0.7283333333333334,0.6638888716697693
semantic_soft_rep3,0.03,0.001,3,3919.1999999999994,33.44455711499371,6123.88130767707,0.004705100320279598,0.9952949285507202,0.0006375769250250111,0.0006375769735313952,0.9920310179392496,0.9288888888888889,0.9988888888888888,0.9283333333333333,0.8022222222222221,0.6527777711550394
spectrogram8_gate,0.03,0.001,3,524288.0,0.25,45.7763671875,0.018199410910407703,0.9818005959192911,0.01413188719501098,0.014131887815892696,0.9785089095433553,0.6916666666666668,0.9777777777777779,0.45166666666666666,0.3427777777777778,0.6583333214124044
spectrogram8_partial,0.03,0.001,3,655360.0,0.20000000000000004,36.62109375,0.012774797777334848,0.9872252146402994,0.008707273751497269,0.008707273751497269,0.9838835795720419,0.7888888888888889,0.9827777777777778,0.6411111111111111,0.5244444444444444,0.6683333516120911
spectrogram8_rep3_partial,0.03,0.001,3,1966080.0,0.06666666666666667,12.20703125,0.004913729460289081,0.9950863321622213,0.0008462058904115111,0.0008462059680217257,0.991780698299408,0.9266666666666667,0.9977777777777778,0.9238888888888889,0.7811111111111111,0.6611110965410868
fixed_ch0,0.05,0.0,3,0.0,0.0,0.0,0.019968946774800617,0.9800310532251993,0.01602762130399545,0.01602762130399545,0.9800310532251993,0.6966666666666667,0.971111111111111,0.46388888888888885,0.37777777777777777,0.0
iq12_gate,0.05,0.0,3,96000000.0,0.0013653333333333336,0.25,0.0188969224691391,0.9811031023661295,0.014955594825247923,0.014955594204366207,0.9777836402257284,0.6844444444444445,0.9755555555555556,0.4277777777777778,0.3227777777777778,0.6638888915379842
iq12_partial,0.05,0.0,3,120000000.0,0.0010922666666666667,0.20000000000000004,0.0056976135820150375,0.9943023721377054,0.0017562868694464366,0.0017562867142260075,0.9909578760464987,0.9233333333333333,0.9944444444444445,0.898888888888889,0.7794444444444445,0.6688888867696127
oracle,0.05,0.0,3,0.0,0.0,0.0,0.003941326790178816,0.9960586826006571,0.0,0.0,0.9928391774495443,0.9472222222222223,0.9994444444444444,1.0,1.0,0.6438888708750407
random,0.05,0.0,3,0.0,0.0,0.0,0.01798371411859989,0.9820163051287333,0.014042386474708715,0.014042386474708715,0.9787246187527975,0.7011111111111111,0.9783333333333334,0.4416666666666667,0.34166666666666673,0.6583333214124044
semantic_hard,0.05,0.0,3,1050.84,124.73121779422947,22838.968101970724,0.005634321520725886,0.9943657120068868,0.0016929949245726068,0.0016929946917419632,0.9911239941914877,0.9250000000000002,0.9944444444444445,0.903888888888889,0.778888888888889,0.6483333309491476
semantic_hard_rep3,0.05,0.0,3,3152.52,41.57707259807649,7612.989367323576,0.0050454541730384035,0.9949544469515482,0.001104127576885124,0.0011041274022621412,0.9916767875353495,0.9377777777777778,0.9955555555555556,0.9249999999999999,0.7961111111111112,0.6555555661519369
semantic_soft,0.05,0.0,3,1313.4222222222222,99.7955914675199,18273.11855484373,0.005595111598571141,0.9944049119949341,0.0016537848860025406,0.001653784536756575,0.9910465478897095,0.9261111111111111,0.995,0.9005555555555556,0.7761111111111111,0.67166668176651
semantic_soft_rep3,0.05,0.0,3,3940.2666666666664,33.265197155839964,6091.0395182812435,0.005058340573062499,0.9949416120847067,0.001117013821688791,0.0011170136276632547,0.9916277329126993,0.9372222222222222,0.9955555555555556,0.923888888888889,0.7888888888888889,0.6627778013547262
