seed,method,split,best_epoch,mean_discrete_regret,cvar_0_9_regret,clean_resource_rate,brier,mean_application_bits,mean_nominal_transmitted_bits,budget_violation,precision_counts
20260716,full_joint_loss,calibration,154,0.024343637749552727,0.11930203437805176,0.46000000834465027,0.01744108274579048,166.52000427246094,489.1600036621094,0.0,"{""1"": 41, ""2"": 0, ""4"": 4, ""8"": 5}"
20260716,full_joint_loss,validation,154,0.02210826240479946,0.12916971743106842,0.5400000214576721,0.017953943461179733,168.54666137695312,492.7066650390625,0.0,"{""1"": 121, ""2"": 0, ""4"": 6, ""8"": 23}"
20260717,detection_only,train,55,0.02562895603477955,0.13438460230827332,0.47333332896232605,0.01164626982063055,174.1199951171875,502.4599914550781,0.0,"{""1"": 219, ""2"": 0, ""4"": 0, ""8"": 81}"
20260717,detection_only,calibration,55,0.019247302785515785,0.10128724575042725,0.5199999809265137,0.011981673538684845,170.1999969482422,495.6000061035156,0.0,"{""1"": 40, ""2"": 0, ""4"": 0, ""8"": 10}"
20260717,detection_only,validation,55,0.0242142416536808,0.1327618509531021,0.5133333206176758,0.00944469589740038,173.18666076660156,500.82666015625,0.0,"{""1"": 112, ""2"": 0, ""4"": 0, ""8"": 38}"
20260717,detection_plus_rate,train,155,0.024341784417629242,0.12525025010108948,0.46666666865348816,0.009569808840751648,165.77333068847656,487.85333251953125,0.0,"{""1"": 262, ""2"": 0, ""4"": 3, ""8"": 35}"
20260717,detection_plus_rate,calibration,155,0.027818970382213593,0.15737485885620117,0.47999998927116394,0.010181006044149399,164.60000610351562,485.79998779296875,0.0,"{""1"": 45, ""2"": 0, ""4"": 0, ""8"": 5}"
20260717,detection_plus_rate,validation,155,0.025769716128706932,0.13482290506362915,0.5,0.008332140743732452,161.6133270263672,480.5733337402344,0.0,"{""1"": 143, ""2"": 0, ""4"": 0, ""8"": 7}"
20260717,detection_plus_resource,train,70,0.024569012224674225,0.13624416291713715,0.4866666793823242,0.01153846550732851,173.18666076660156,500.82666015625,0.0,"{""1"": 224, ""2"": 0, ""4"": 0, ""8"": 76}"
20260717,detection_plus_resource,calibration,70,0.023544659838080406,0.11930203437805176,0.47999998927116394,0.011002620682120323,169.0800018310547,493.6400146484375,0.0,"{""1"": 41, ""2"": 0, ""4"": 0, ""8"": 9}"
20260717,detection_plus_resource,validation,70,0.022161314263939857,0.12272229790687561,0.5333333611488342,0.009076358750462532,172.06666564941406,498.8666687011719,0.0,"{""1"": 115, ""2"": 0, ""4"": 0, ""8"": 35}"
20260717,full_joint_loss,train,77,0.02408895082771778,0.129729226231575,0.4866666793823242,0.019712848588824272,164.413330078125,485.47332763671875,0.0,"{""1"": 271, ""2"": 0, ""4"": 0, ""8"": 29}"
20260717,full_joint_loss,calibration,77,0.023374415934085846,0.11930203437805176,0.5,0.016239400953054428,165.72000122070312,487.760009765625,0.0,"{""1"": 44, ""2"": 0, ""4"": 0, ""8"": 6}"
20260717,full_joint_loss,validation,77,0.023997141048312187,0.13047724962234497,0.5199999809265137,0.014807494357228279,164.22666931152344,485.14666748046875,0.0,"{""1"": 136, ""2"": 0, ""4"": 0, ""8"": 14}"
20260718,detection_only,train,45,0.026781056076288223,0.1438402682542801,0.47333332896232605,0.011327915824949741,175.6133270263672,505.0733337402344,0.0,"{""1"": 211, ""2"": 0, ""4"": 0, ""8"": 89}"
